chat_id,message,expected_sentiment
1,The product arrived damaged and unusable.,Negative
2,I have a question regarding my account.,Neutral
3,My order has been delayed for over a week and nobody is responding.,Negative
4,The product quality is disappointing.,Negative
5,My order has been delayed for over a week and nobody is responding.,Negative
6,The tracking information is incorrect.,Negative
7,The refund process was smooth and fast.,Positive
8,I received the wrong item in my package.,Negative
9,Please confirm whether my order was processed.,Neutral
10,My order has been delayed for over a week and nobody is responding.,Negative
11,The delivery was much later than promised.,Negative
12,My order has been delayed for over a week and nobody is responding.,Negative
13,I requested a refund but have not received any update.,Negative
14,My order has been delayed for over a week and nobody is responding.,Negative
15,I received the wrong item in my package.,Negative
16,Support resolved my issue within minutes.,Positive
17,Excellent customer service and quick resolution.,Positive
18,When will my order be shipped?,Neutral
19,The product exceeded my expectations.,Positive
20,I am frustrated with the slow response from support.,Negative
21,Everything worked perfectly from purchase to delivery.,Positive
22,When will my order be shipped?,Neutral
23,The product quality is disappointing.,Negative
24,Thank you for the outstanding support.,Positive
25,Everything worked perfectly from purchase to delivery.,Positive
26,I need clarification about the warranty.,Neutral
27,Great communication throughout the delivery process.,Positive
28,My order has been delayed for over a week and nobody is responding.,Negative
29,Please explain your refund policy.,Neutral
30,The delivery arrived earlier than expected.,Positive
31,I have a question regarding my account.,Neutral
32,The tracking information is incorrect.,Negative
33,The delivery arrived earlier than expected.,Positive
34,Great communication throughout the delivery process.,Positive
35,The ordering experience was simple and convenient.,Positive
36,I am frustrated with the slow response from support.,Negative
37,The tracking information is incorrect.,Negative
38,The tracking information is incorrect.,Negative
39,Can you check the tracking details for my package?,Neutral
40,Excellent customer service and quick resolution.,Positive
41,The product exceeded my expectations.,Positive
42,What payment methods do you accept?,Neutral
43,I am very happy with the product quality.,Positive
44,The product quality is disappointing.,Negative
45,The product exceeded my expectations.,Positive
46,I requested a refund but have not received any update.,Negative
47,Excellent customer service and quick resolution.,Positive
48,The tracking information is incorrect.,Negative
49,Great communication throughout the delivery process.,Positive
50,Excellent customer service and quick resolution.,Positive
51,The product arrived damaged and unusable.,Negative
52,The delivery arrived earlier than expected.,Positive
53,My order has been delayed for over a week and nobody is responding.,Negative
54,Can you check the tracking details for my package?,Neutral
55,I received the wrong item in my package.,Negative
56,The tracking information is incorrect.,Negative
57,The delivery was much later than promised.,Negative
58,The product quality is disappointing.,Negative
59,The tracking information is incorrect.,Negative
60,I requested a refund but have not received any update.,Negative
61,Can you check the tracking details for my package?,Neutral
62,I requested a refund but have not received any update.,Negative
63,Payment failed several times during checkout.,Negative
64,Excellent customer service and quick resolution.,Positive
65,Can you check the tracking details for my package?,Neutral
66,I am very happy with the product quality.,Positive
67,I have a question regarding my account.,Neutral
68,Can you check the tracking details for my package?,Neutral
69,The product quality is disappointing.,Negative
70,How can I contact customer support?,Neutral
71,I requested a refund but have not received any update.,Negative
72,Can you check the tracking details for my package?,Neutral
73,I am very happy with the product quality.,Positive
74,Excellent customer service and quick resolution.,Positive
75,The delivery was much later than promised.,Negative
76,My order has been delayed for over a week and nobody is responding.,Negative
77,The tracking information is incorrect.,Negative
78,How can I contact customer support?,Neutral
79,The ordering experience was simple and convenient.,Positive
80,Thank you for the outstanding support.,Positive
81,The refund process was smooth and fast.,Positive
82,When will my order be shipped?,Neutral
83,The product quality is disappointing.,Negative
84,The tracking information is incorrect.,Negative
85,My order has been delayed for over a week and nobody is responding.,Negative
86,I would like more information about the product.,Neutral
87,How can I contact customer support?,Neutral
88,My order has been delayed for over a week and nobody is responding.,Negative
89,I am frustrated with the slow response from support.,Negative
90,I am frustrated with the slow response from support.,Negative
91,The tracking information is incorrect.,Negative
92,I am very happy with the product quality.,Positive
93,How can I contact customer support?,Neutral
94,The delivery was much later than promised.,Negative
95,Great communication throughout the delivery process.,Positive
96,I have a question regarding my account.,Neutral
97,Everything worked perfectly from purchase to delivery.,Positive
98,When will my order be shipped?,Neutral
99,Payment failed several times during checkout.,Negative
100,Please explain your refund policy.,Neutral
101,Excellent customer service and quick resolution.,Positive
102,Please confirm whether my order was processed.,Neutral
103,The product exceeded my expectations.,Positive
104,I am frustrated with the slow response from support.,Negative
105,My order has been delayed for over a week and nobody is responding.,Negative
106,The delivery was much later than promised.,Negative
107,I received the wrong item in my package.,Negative
108,Payment failed several times during checkout.,Negative
109,When will my order be shipped?,Neutral
110,What payment methods do you accept?,Neutral
111,Please explain your refund policy.,Neutral
112,My order has been delayed for over a week and nobody is responding.,Negative
113,Can you check the tracking details for my package?,Neutral
114,I am very happy with the product quality.,Positive
115,Can you check the tracking details for my package?,Neutral
116,Customer support is not answering my emails.,Negative
117,Customer support is not answering my emails.,Negative
118,Everything worked perfectly from purchase to delivery.,Positive
119,I received the wrong item in my package.,Negative
120,I received the wrong item in my package.,Negative
121,The delivery was much later than promised.,Negative
122,The ordering experience was simple and convenient.,Positive
123,The delivery was much later than promised.,Negative
124,The delivery was much later than promised.,Negative
125,The ordering experience was simple and convenient.,Positive
126,The delivery was much later than promised.,Negative
127,Support resolved my issue within minutes.,Positive
128,My order has been delayed for over a week and nobody is responding.,Negative
129,My order has been delayed for over a week and nobody is responding.,Negative
130,The product exceeded my expectations.,Positive
131,The product exceeded my expectations.,Positive
132,The product exceeded my expectations.,Positive
133,Please explain your refund policy.,Neutral
134,The tracking information is incorrect.,Negative
135,What payment methods do you accept?,Neutral
136,Excellent customer service and quick resolution.,Positive
137,Everything worked perfectly from purchase to delivery.,Positive
138,I have a question regarding my account.,Neutral
139,Excellent customer service and quick resolution.,Positive
140,I received the wrong item in my package.,Negative
141,The product arrived damaged and unusable.,Negative
142,I have a question regarding my account.,Neutral
143,I received the wrong item in my package.,Negative
144,My order has been delayed for over a week and nobody is responding.,Negative
145,The product exceeded my expectations.,Positive
146,The refund process was smooth and fast.,Positive
147,The product quality is disappointing.,Negative
148,The product quality is disappointing.,Negative
149,I have a question regarding my account.,Neutral
150,The product exceeded my expectations.,Positive
151,The product quality is disappointing.,Negative
152,The delivery was much later than promised.,Negative
153,Thank you for the outstanding support.,Positive
154,Payment failed several times during checkout.,Negative
155,The delivery arrived earlier than expected.,Positive
156,Great communication throughout the delivery process.,Positive
157,The product exceeded my expectations.,Positive
158,I am frustrated with the slow response from support.,Negative
159,Great communication throughout the delivery process.,Positive
160,I am very happy with the product quality.,Positive
161,The refund process was smooth and fast.,Positive
162,What payment methods do you accept?,Neutral
163,What payment methods do you accept?,Neutral
164,I would like more information about the product.,Neutral
165,Excellent customer service and quick resolution.,Positive
166,The tracking information is incorrect.,Negative
167,Excellent customer service and quick resolution.,Positive
168,What payment methods do you accept?,Neutral
169,Great communication throughout the delivery process.,Positive
170,I am very happy with the product quality.,Positive
171,Customer support is not answering my emails.,Negative
172,The ordering experience was simple and convenient.,Positive
173,My order has been delayed for over a week and nobody is responding.,Negative
174,I am very happy with the product quality.,Positive
175,Great communication throughout the delivery process.,Positive
176,I received the wrong item in my package.,Negative
177,Payment failed several times during checkout.,Negative
178,The delivery was much later than promised.,Negative
179,I have a question regarding my account.,Neutral
180,The product arrived damaged and unusable.,Negative
181,The delivery was much later than promised.,Negative
182,When will my order be shipped?,Neutral
183,Excellent customer service and quick resolution.,Positive
184,The ordering experience was simple and convenient.,Positive
185,Payment failed several times during checkout.,Negative
186,My order has been delayed for over a week and nobody is responding.,Negative
187,The product arrived damaged and unusable.,Negative
188,The ordering experience was simple and convenient.,Positive
189,The refund process was smooth and fast.,Positive
190,Please explain your refund policy.,Neutral
191,The product exceeded my expectations.,Positive
192,My order has been delayed for over a week and nobody is responding.,Negative
193,The product arrived damaged and unusable.,Negative
194,The product arrived damaged and unusable.,Negative
195,The delivery was much later than promised.,Negative
196,The refund process was smooth and fast.,Positive
197,Excellent customer service and quick resolution.,Positive
198,The product arrived damaged and unusable.,Negative
199,The delivery arrived earlier than expected.,Positive
200,My order has been delayed for over a week and nobody is responding.,Negative
201,Payment failed several times during checkout.,Negative
202,What payment methods do you accept?,Neutral
203,When will my order be shipped?,Neutral
204,The delivery arrived earlier than expected.,Positive
205,Support resolved my issue within minutes.,Positive
206,I received the wrong item in my package.,Negative
207,Payment failed several times during checkout.,Negative
208,Can you provide an update on my order status?,Neutral
209,The delivery arrived earlier than expected.,Positive
210,I have a question regarding my account.,Neutral
211,The product quality is disappointing.,Negative
212,Please confirm whether my order was processed.,Neutral
213,How can I contact customer support?,Neutral
214,I received the wrong item in my package.,Negative
215,How can I contact customer support?,Neutral
216,I requested a refund but have not received any update.,Negative
